Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
14	0.7927928	0.5713445	1.0	-1.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.7303279	0.17657186	1.191477	-0.35272622	0.00035245303	0.0035282923	0.0192131	-0.02431724	7.820129e-09	-0.006468395	-3.2410026e-11	5.5433743e-06	0.15730613	-0.02746664	2.0329451e-05	-3.562216e-06	0	0	79.0	0.76147044	0.004764885	75000	7195.08438038826
15	0.8543689	0.42740506	1.0	-1.0	0.0	0.0	0.0	0.0	48.54369	0.0	0.0	0.62481946	0.26149538	1.4776777	-0.5777305	-0.0003449029	0.0035272702	0.028164208	-0.021496624	-2.4795533e-08	-0.007881752	1.2665987e-11	1.2844886e-05	0.08479259	-0.023051858	1.3734442e-05	-2.637099e-06	0	0	79.0	0.73297614	0.007539938	80000	7656.074375152588
16	0.93333334	0.3167293	1.0	-1.0	0.0	0.0	0.0	0.0	47.38095	0.0	0.0	0.738971	0.19603367	1.2882022	-0.25452405	-0.00017615393	0.0028948083	0.01701472	-0.023296436	4.4822692e-09	-0.007728652	-2.0861625e-11	4.2812976e-06	0.048709832	-0.013864353	8.760184e-06	-2.294546e-06	0	0	79.0	0.7192435	0.0069848336	85000	8117.978912591934
17	0.94545454	0.2965365	1.0	-1.0	0.0	0.0	0.0	0.0	45.18182	0.0	0.0	0.7395298	0.15869875	1.1439362	-0.10738604	-4.0463237e-05	0.003214516	0.0209913	-0.0244441	-7.629395e-09	-0.005913872	-2.4028123e-11	-1.9649042e-06	0.04665487	-0.006519474	1.0277703e-05	0.000109397035	0	0	79.0	0.7111951	0.005768327	90000	8577.964663267136
18	0.9433962	0.23108393	1.0	0.0	0.0	0.0	0.0	0.0	47.160378	0.0	0.0	0.7523826	0.1785321	1.1656481	-0.16398448	-0.010778704	0.003543043	0.023995778	-0.02975053	9.918213e-09	-0.008226057	2.2351742e-11	1.3831082e-05	0.013929073	-0.0035415906	0.00011628739	-0.00010458035	0	0	79.0	0.69240254	0.0072048563	95000	9040.125681638718
19	0.9259259	0.35233888	1.0	-1.0	0.0	0.0	0.0	0.0	45.953705	0.0	0.0	0.75309783	0.15854616	1.0833776	-0.103594095	-0.0006655868	0.0031018085	0.030801263	-0.023687929	-9.536744e-10	-0.005914434	2.4586916e-11	-5.7771904e-06	0.050782	-0.0049913675	8.7708495e-06	1.9976826e-05	0	0	79.0	0.6674092	0.0043616784	100000	9499.31454205513
20	0.90654206	0.37523106	1.0	-1.0	0.0	0.0	0.0	0.0	46.71028	0.0	0.0	0.7379357	0.18645379	1.1628302	-0.20429003	0.004701688	0.0030125068	0.026236348	-0.01262557	2.861023e-09	-0.008839011	-1.937151e-11	-2.5118513e-07	0.058518797	-0.012514636	2.8840823e-05	-2.0235491e-05	0	0	79.0	0.68431795	0.007321481	105000	9958.643787384033
21	0.9266055	0.29386452	1.0	-1.0	0.0	0.0	0.0	0.0	45.477066	0.0	0.0	0.7489542	0.20525412	1.221153	-0.28708726	0.00167072	0.0026605036	0.020831708	-0.015681447	1.0299683e-08	-0.009561425	1.0691583e-10	-7.0501324e-06	0.035551008	-0.00903539	1.1298165e-05	4.2458883e-05	0	0	79.0	0.68170524	0.0062828315	110000	10417.71441578865
22	0.9082569	0.37198412	1.0	-1.0	0.0	0.0	0.0	0.0	45.779816	0.0	0.0	0.74489474	0.17019978	1.2848098	0.030188963	-0.0069088778	0.0028002225	0.011198519	-0.026748134	-6.67572e-10	-0.008219314	-1.937151e-10	-2.806683e-06	0.07128908	-0.007782556	5.386501e-05	-4.51945e-05	0	0	79.0	0.6687013	0.008560208	115000	10878.386951446533
23	0.90384614	0.354076	1.0	-1.0	0.0	0.0	0.0	0.0	47.721153	0.0	0.0	0.71066487	0.17321621	1.461454	0.07302437	-0.00040928964	0.0026458648	0.013217352	-0.021518828	5.722046e-09	-0.009788821	1.7881394e-11	1.2016208e-06	0.051758148	-0.0076900013	6.5701233e-06	7.609972e-05	0	0	79.0	0.67788357	0.006323935	120000	11340.27742767334
