Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
14	0.50968784	0.49990615	1.0	0.0	0.49031216	0.49990615	1.0	0.0	16.146395	14885.0	0.033077777777777775	1.0084684	0.67482674	4.2369156	-0.58771867	0.5135822	0.2752162	1.3948473	-0.21233666	3.4175612e-10	-0.00046500817	2.7974447e-09	-0.00021688423	0.6306881	-0.02146697	0.08330528	-0.0017744973	1.3818991	0.0319798	79.0	0.36671928	0.001348512	450000	35965.76191449165
15	0.5018647	0.49999654	1.0	0.0	0.49813533	0.49999654	1.0	0.0	15.980821	15820.0	0.03295833333333333	1.0224758	0.727504	4.171775	-0.6014889	0.5172515	0.28264233	1.6255468	-0.2226266	-2.665686e-09	-0.00063540635	-9.536744e-10	-0.0002802192	0.63752484	-0.023799956	0.08016945	-0.0018088892	1.4138789	0.031228065	79.0	0.38534728	0.0017055552	480000	38363.48996376991
16	0.5180788	0.49967307	1.0	0.0	0.4819212	0.49967307	1.0	0.0	16.184027	16713.0	0.03277058823529412	1.0626293	0.72969764	4.648513	-0.68177307	0.5116366	0.29141676	1.4413005	-0.22223726	-4.894388e-09	-0.00047599117	-3.3537546e-09	-0.00023312907	0.65576595	-0.009651899	0.079735175	-0.0018046349	1.445107	0.032608867	79.0	0.37477347	0.0011600185	510000	40772.380227565765
17	0.4864	0.49981496	1.0	0.0	0.5136	0.49981496	1.0	0.0	15.997867	17676.0	0.032733333333333337	0.97989357	0.7952878	4.583832	-0.85962397	0.5171547	0.2919897	1.5114915	-0.22737698	-3.6674558e-10	-0.0005506915	3.6875407e-09	-0.00028899906	0.67013556	-0.021507502	0.08044554	-0.0009646863	1.4777158	0.0326792	79.0	0.3880796	0.0016592613	540000	43169.45374941826
18	0.52056277	0.499577	1.0	0.0	0.47943723	0.499577	1.0	0.0	16.226732	18562.0	0.032564912280701755	1.0145621	0.79548067	5.7998924	-0.84417415	0.4767327	0.28692052	1.3321695	-0.25623354	-9.718659e-10	-0.0004356047	-2.2888185e-09	-0.00019750113	0.6527422	-0.018056631	0.0783926	-0.0023102015	1.510395	0.0322603	79.0	0.38720074	0.0020283202	570000	45566.32487988472
19	0.5	0.5	1.0	0.0	0.5	0.5	1.0	0.0	16.107412	19493.0	0.032488333333333334	1.0423015	0.7943449	4.938783	-0.78674567	0.50113565	0.2922487	1.4385093	-0.28550273	6.709787e-09	-0.00051631045	5.086263e-10	-0.00016422132	0.6796169	0.014973342	0.08250209	-0.0014458671	1.5426553	0.029902935	79.0	0.393123	0.0011508202	600000	47966.28920674324
20	0.50621283	0.49996135	1.0	0.0	0.49378714	0.49996135	1.0	0.0	16.207455	20407.0	0.03239206349206349	1.1933434	0.8204322	5.3307085	-0.6812507	0.519292	0.29338533	1.4061307	-0.315434	-4.8363864e-09	-0.00053467124	1.1444092e-09	-0.0003157196	0.8042678	-0.022047102	0.08449904	0.0061035976	1.5725583	0.03258884	79.0	0.4045918	0.0024068248	630000	50362.71511697769
21	0.50805587	0.4999351	1.0	0.0	0.49194413	0.4999351	1.0	0.0	16.111708	21323.0	0.03230757575757576	1.1269757	0.89569205	5.8915415	-0.8375085	0.58211637	0.28783146	1.5645481	-0.19386874	-4.370464e-09	-0.00028317902	1.4623006e-09	-0.00012009411	0.72514844	-0.007890344	0.08619875	-0.0053153187	1.6051471	0.03564298	79.0	0.39128816	0.00088164525	660000	52761.87865281105
22	0.54505736	0.4979657	1.0	0.0	0.45494264	0.4979657	1.0	0.0	16.375204	22156.0	0.03211014492753623	1.0776825	0.9239504	6.427497	-1.0374857	0.5260073	0.3036848	1.6503962	-0.30967987	7.476737e-09	-0.0006739853	2.7338665e-09	-0.00017858797	0.7828449	-0.033120394	0.07557897	-0.001493603	1.6407901	0.026644826	79.0	0.39767286	0.0020509239	690000	55159.546909570694
23	0.5235008	0.4994474	1.0	0.0	0.4764992	0.4994474	1.0	0.0	16.203133	23038.0	0.031997222222222226	1.1503524	0.9245289	6.8884826	-1.0556841	0.5070123	0.30039537	1.6597514	-0.2675163	-6.6803907e-10	-0.0004944904	-2.2888185e-09	-0.00024855472	0.74433726	-0.019171119	0.08008943	-0.00026475638	1.6674349	0.031098485	79.0	0.38188472	0.0021129113	720000	57561.071006536484
