Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
14	-4.776744	2.0669422	-0.5	-10.0	0.069767445	0.2547547	1.0	0.0	57.744186	368.0	0.004906666666666667	-0.0343963	0.03180666	0.04117536	-0.32048032	0.0	0.0	0.0	0.0	1.2397766e-08	-0.007990893	0.0	0.0	0.029461127	-0.005689729	100.0	0.0	79.0	0.8112384	0.0074536004	75000	7158.864310979843
15	-4.6397724	2.0079126	-1.1	-10.0	0.022727273	0.1490327	1.0	0.0	56.647728	370.0	0.004625	-0.05865114	0.08581683	0.10045801	-1.0410011	0.0	0.0	0.0	0.0	-4.9591065e-09	-0.009215955	0.0	0.0	0.012043503	-0.0076704575	100.0	0.0	79.0	0.8191041	0.007990369	80000	7639.477445363998
16	-4.7755814	2.3620517	-0.8	-10.0	0.023255814	0.15071492	1.0	0.0	57.476746	372.0	0.004376470588235294	-0.026049262	0.030136503	0.037459306	-0.35324785	0.0	0.0	0.0	0.0	2.8610229e-08	-0.0072399257	0.0	0.0	0.010015038	-0.0020493018	100.0	0.0	67.0	0.8266805	0.012171528	85000	8117.308554172516
17	-4.346236	2.1583824	-0.4	-10.0	0.010752688	0.103136174	1.0	0.0	53.51613	373.0	0.0041444444444444445	-0.032077104	0.03915882	0.062298637	-0.32461014	0.0	0.0	0.0	0.0	3.0517577e-09	-0.0040659443	0.0	0.0	0.004874762	-0.0004566689	100.0	0.0	8.0	0.7849949	0.012624847	90000	8598.107106208801
18	-4.4053764	2.2838078	-0.8	-10.0	0.05376344	0.22555031	1.0	0.0	53.634407	378.0	0.003978947368421052	-0.03309828	0.035367854	0.062060762	-0.31293264	0.0	0.0	0.0	0.0	-1.0681152e-08	-0.0087206615	0.0	0.0	0.026361447	-0.0056923926	100.0	0.0	79.0	0.78807694	0.0069924896	95000	9075.503456354141
19	-3.8931372	2.0426943	-0.4	-10.0	0.0882353	0.2836368	1.0	0.0	48.637257	387.0	0.00387	-0.06589818	0.08435732	0.1335093	-0.81976426	0.0	0.0	0.0	0.0	6.1035155e-09	-0.0068413247	0.0	0.0	0.032944787	-0.004070727	100.0	0.0	79.0	0.75938195	0.0041196505	100000	9555.30591416359
20	-4.110309	2.1803472	-0.5	-10.0	0.020618556	0.14210358	1.0	0.0	51.082474	389.0	0.0037047619047619047	-0.059841145	0.06809113	0.12384917	-0.44410884	0.0	0.0	0.0	0.0	1.0299683e-08	-0.003999344	0.0	0.0	0.013576429	-0.0023230128	100.0	0.0	79.0	0.74183416	0.003350843	105000	10035.765305995941
21	-4.6793103	2.3642519	-0.3	-10.0	0.0	0.0	0.0	0.0	56.78161	389.0	0.0035363636363636365	-0.036533955	0.05335342	0.10557209	-0.32422304	0.0	0.0	0.0	0.0	-4.7683715e-09	-0.009703578	0.0	0.0	0.00300877	-0.0024639233	100.0	0.0	47.0	0.7196784	0.012961679	110000	10511.872576713562
22	-4.4217386	2.1030424	-1.0	-10.0	0.054347824	0.22670278	1.0	0.0	54.141304	394.0	0.003426086956521739	-0.024948504	0.03155172	0.12816496	-0.26507863	0.0	0.0	0.0	0.0	5.722046e-10	-0.00643944	0.0	0.0	0.013994822	-0.0016285256	100.0	0.0	79.0	0.7632661	0.0058743586	115000	10984.632326126099
23	-4.6179776	2.2104228	-1.0	-10.0	0.04494382	0.20718078	1.0	0.0	55.94382	398.0	0.0033166666666666665	-0.038767044	0.040982656	0.10089345	-0.33806	0.0	0.0	0.0	0.0	-1.1253357e-08	-0.004893166	0.0	0.0	0.016523538	-0.0023257267	100.0	0.0	79.0	0.76314485	0.008578796	120000	11461.181056261063
24	-4.377174	2.1581042	-0.8	-10.0	0.010869565	0.10368904	1.0	0.0	54.173912	399.0	0.003192	-0.039768804	0.053388905	0.09105373	-0.38431364	0.0	0.0	0.0	0.0	1.0061264e-08	-0.009432113	0.0	0.0	0.008907417	-0.0027788812	100.0	0.0	69.0	0.76184386	0.012317736	125000	11940.271961688995
25	-4.1402063	2.2251914	-0.5	-10.0	0.020618556	0.14210358	1.0	0.0	51.381443	401.0	0.0030846153846153844	-0.028657775	0.03179081	0.06544268	-0.16491705	0.0	0.0	0.0	0.0	4.7683715e-11	-0.0088706445	0.0	0.0	0.011164443	-0.0016484624	100.0	0.0	79.0	0.7314954	0.0068560257	130000	12421.167342662811
26	-4.07551	1.962197	-0.5	-10.0	0.040816326	0.19786449	1.0	0.0	50.857143	405.0	0.003	-0.040648036	0.03943654	0.063660465	-0.25412646	0.0	0.0	0.0	0.0	1.783371e-08	-0.010246044	0.0	0.0	0.019743167	-0.004249119	100.0	0.0	79.0	0.7231162	0.008540257	135000	12897.64307141304
27	-4.5764046	2.397003	-1.3	-10.0	0.033707865	0.18047617	1.0	0.0	55.52809	408.0	0.0029142857142857143	-0.03914699	0.07120349	0.33618924	-0.43579757	0.0	0.0	0.0	0.0	1.7166137e-09	-0.0077917622	0.0	0.0	0.013173629	-0.0031149108	100.0	0.0	79.0	0.71925	0.005514361	140000	13373.904330253601
28	-3.9797976	2.0438614	-0.7	-10.0	0.030303031	0.17141983	1.0	0.0	50.020203	411.0	0.00283448275862069	-0.036581323	0.048465285	0.0738349	-0.4117488	0.0	0.0	0.0	0.0	6.7710877e-09	-0.0065467735	0.0	0.0	0.013139414	-0.0016346937	100.0	0.0	79.0	0.73850334	0.0068340423	145000	13849.78010058403
29	-4.3739133	2.0144515	-0.4	-10.0	0.010869565	0.10368904	1.0	0.0	54.141304	412.0	0.002746666666666667	-0.0347105	0.037506234	0.12757574	-0.33047485	0.0	0.0	0.0	0.0	1.0681152e-08	-0.007270592	0.0	0.0	0.0042389426	-0.0005308485	100.0	0.0	79.0	0.76373655	0.008340859	150000	14324.696275949478
30	-4.1726313	2.3004093	-0.5	-10.0	0.0	0.0	0.0	0.0	52.031578	412.0	0.0026580645161290322	-0.023106487	0.031051401	0.057181507	-0.1853223	0.0	0.0	0.0	0.0	3.0517577e-09	-0.0069016544	0.0	0.0	0.0007647146	-0.0005452959	100.0	0.0	79.0	0.76055545	0.004986141	155000	14803.300926208496
31	-4.268085	2.321189	-0.3	-10.0	0.021276595	0.14430489	1.0	0.0	52.861702	414.0	0.0025875	-0.019761503	0.02127081	0.04911679	-0.12708513	0.0	0.0	0.0	0.0	-6.1035155e-09	-0.007548619	0.0	0.0	0.0075135008	-0.0013226941	100.0	0.0	79.0	0.73542494	0.009085993	160000	15279.134879112244
32	-4.0577316	1.8813155	-0.4	-10.0	0.010309278	0.101009876	1.0	0.0	51.237114	415.0	0.002515151515151515	-0.030632453	0.041826133	0.06589309	-0.26011094	0.0	0.0	0.0	0.0	-7.4386595e-09	-0.008313231	0.0	0.0	0.0031632518	-0.0012632975	100.0	0.0	79.0	0.73690456	0.006695679	165000	15755.00367808342
