Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-2.4268749	2.078212	-0.3	-10.0	0.36875	0.482466	1.0	0.0	31.14375	59.0	0.0118	-0.5009111	0.2647469	0.06521789	-1.052407	-0.05192872	0.18674654	0.5552912	-0.53794473	-3.0517582e-09	-0.002673213	2.6226044e-09	-0.0049904827	3.4071383	-1.674591	0.20444195	-0.10409887	10.0	2.0009632	4.0	1.0178834	0.024216859	5000	505.59715700149536
1	-4.744565	3.5045736	-0.4	-10.0	0.25	0.4330127	1.0	0.0	53.902172	82.0	0.0082	-1.6247547	0.62479264	1.0892311	-3.2129395	0.12728855	0.13094778	0.61333495	-0.2290293	-3.466139e-09	-0.001312655	-2.1100044e-09	-0.0015211927	4.832756	-2.293981	0.05858125	-0.006688919	12.000963	1.6378231	20.0	1.0135244	0.012853983	10000	1015.3175082206726
2	-4.5096774	2.7257063	-0.4	-10.0	0.20430107	0.40318996	1.0	0.0	53.139786	101.0	0.006733333333333333	-2.838694	1.375922	2.3677585	-6.177522	0.091257334	0.08370026	0.48941335	-0.04181887	-5.875004e-10	-0.0015452466	4.7683715e-11	-0.0021726135	2.3127625	-0.73034406	0.043521058	-0.0049143657	13.638786	1.4376783	15.0	1.0170697	0.014416439	15000	1528.578141450882
3	-4.8034477	2.3474834	-0.4	-10.0	0.13793103	0.34482756	1.0	0.0	57.390804	113.0	0.00565	-2.304434	1.6004705	3.9059381	-6.255336	0.06354827	0.09507205	0.68762696	-0.19429868	3.3725365e-09	-0.0011157929	3.4570693e-09	-0.0010720756	1.2632862	-0.28360677	0.03187209	-0.004313728	15.076465	1.1174974	27.0	0.93074894	0.012140525	20000	2054.1806712150574
4	-5.097531	2.1533194	-0.5	-10.0	0.012345679	0.11042311	1.0	0.0	61.4321	114.0	0.00456	-2.0907214	1.4782785	1.7598547	-5.72979	0.037134472	0.0691304	0.35905316	-0.09736516	8.695674e-10	-0.00027450023	3.8146972e-10	0.00038014294	0.97357756	-0.0714311	0.010017895	-0.004984106	16.193962	0.25948906	9.0	0.9329782	0.01121619	25000	2572.1134197711945
5	-3.7358491	2.2634163	-0.3	-10.0	0.16981132	0.37546697	1.0	0.0	46.38679	132.0	0.0044	-2.3260982	1.5185382	1.6804874	-5.555699	0.0058017904	0.021162469	0.11532391	-0.11603429	5.082722e-10	-0.0005325028	2.1457672e-10	-0.0016082219	1.3683107	-0.4610818	0.063584745	-0.013042435	16.453451	1.2026672	7.0	0.91926116	0.015599213	30000	3094.8229620456696
6	-4.395699	2.1422486	-0.3	-10.0	0.11827957	0.32293892	1.0	0.0	53.655914	143.0	0.004085714285714285	-1.485203	1.3784924	1.94559	-5.4928174	0.08500371	0.08312064	0.3836193	-0.15600291	-2.8890085e-10	-0.0010370598	1.4305115e-10	-0.0019371671	0.96108156	-0.22197288	0.043739673	-0.004310075	17.656118	1.2084866	40.0	0.9427454	0.012320716	35000	3611.109621524811
7	-5.0048194	2.290415	-0.4	-10.0	0.072289154	0.2589661	1.0	0.0	59.855423	149.0	0.003725	-1.8762547	1.4410874	1.2586656	-5.726185	0.0432049	0.062127754	0.39221653	-0.15462796	1.0199231e-09	-0.0005929948	2.1457672e-10	-0.0008526344	1.166414	-0.1997189	0.022673713	-0.0024051182	18.864605	0.79372406	79.0	0.92564374	0.007409893	40000	4133.546673297882
8	-5.4987183	2.5047388	-0.6	-10.0	0.051282052	0.22057244	1.0	0.0	64.01282	153.0	0.0034	-2.0697675	1.5327758	1.8521174	-5.9853773	0.026555581	0.047340907	0.2656767	-0.09906606	8.492134e-10	-0.0005332901	9.894371e-10	-0.00043330883	1.2343197	-0.18842888	0.015911978	-0.0024080044	19.658329	0.52663994	79.0	0.8807879	0.0074971146	45000	4650.228308916092
9	-5.1987653	2.2912335	-0.3	-10.0	0.037037037	0.18885258	1.0	0.0	61.62963	156.0	0.00312	-2.383382	1.6146841	1.4041274	-6.51192	0.015447101	0.03959624	0.21190247	-0.1072321	-1.0592096e-09	-0.0007263675	-2.8014183e-10	-0.00060690596	1.1805017	-0.10430789	0.008733116	-0.0015385388	20.184969	0.36797333	22.0	0.85113144	0.012520315	50000	5161.249799966812
