Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
14	-6.320588	2.3005474	-1.3	-10.0	0.029411765	0.16895773	1.0	0.0	72.588234	369.0	0.00492	-2.694293	1.7118434	1.4509771	-7.1858606	0.037282716	0.07186272	0.46196568	-0.1270228	1.0995661e-09	-0.0002968014	4.768372e-10	-7.944285e-05	1.573925	-0.18638289	0.011659794	-0.0026067235	24.268826	0.28817368	13.0	0.72861093	0.011834332	75000	6401.104605436325
15	-6.109859	2.5845237	-0.8	-10.0	0.014084507	0.11783943	1.0	0.0	70.08451	370.0	0.004625	-2.8509324	1.689994	2.2570448	-7.996457	0.018000826	0.05537797	0.3616579	-0.19485985	2.0428496e-10	-0.0003095173	-8.6426734e-11	-5.6825007e-05	1.6922818	-0.2621106	0.009193518	-0.0019853013	24.557	0.07273674	79.0	0.69922394	0.006481541	80000	6855.735125303268
16	-5.6276307	2.1894243	-1.2	-10.0	0.065789476	0.24791373	1.0	0.0	65.39474	375.0	0.004411764705882353	-2.73193	1.6469984	1.4331373	-6.3931165	0.018807638	0.0370055	0.2851705	-0.102029786	1.0058549e-10	-0.0005627714	-2.9802322e-10	-0.0006138006	1.4724778	-0.18485343	0.02382716	-0.0025942307	24.629736	0.4839077	49.0	0.7138383	0.012253694	85000	7309.322718858719
17	-6.0208335	2.428645	-1.3	-10.0	0.055555556	0.22906144	1.0	0.0	68.763885	379.0	0.004211111111111111	-2.6256661	1.67327	2.8729086	-7.7040677	0.030331634	0.07236947	0.6892751	-0.13867326	2.8933927e-10	-0.00030739073	1.9073486e-10	-0.00024548618	1.7928789	-0.110170245	0.019090403	-0.0027361326	25.113644	0.5401859	11.0	0.7485315	0.013333701	90000	7759.966769695282
18	-5.5618424	2.5400977	-0.4	-10.0	0.02631579	0.1600727	1.0	0.0	65.02631	381.0	0.004010526315789474	-2.888935	1.7190938	2.2645822	-8.113907	0.019901196	0.06380676	0.81946886	-0.1262211	-7.0484885e-10	-0.00025342443	-3.4570694e-10	-6.7372115e-05	2.0739136	-0.28840947	0.014032732	-0.0013135122	25.65383	0.26760292	9.0	0.7905576	0.013190372	95000	8209.659390449524
19	-4.9058137	2.6067154	-0.3	-10.0	0.08139535	0.27344128	1.0	0.0	58.139534	388.0	0.00388	-2.5944483	1.564837	1.9365314	-6.320974	0.03271183	0.05546828	0.46900165	-0.112567306	-2.1454194e-10	-0.0009756756	-2.2649765e-10	-0.0012148989	1.4565535	-0.21432841	0.023523312	-0.0034270138	25.921432	0.72356987	79.0	0.81137764	0.0118798185	100000	8667.676495552063
20	-4.9270587	2.4293494	-0.7	-10.0	0.09411765	0.29199234	1.0	0.0	58.32941	396.0	0.0037714285714285714	-2.2291646	1.6506222	1.6969415	-6.6074357	0.035300188	0.07186146	0.6115071	-0.15184757	-1.0709087e-09	-0.0003782703	-1.0251999e-09	-0.0010421481	1.4143668	-0.22700644	0.025955753	-0.0024475008	26.645002	1.0174294	9.0	0.79600966	0.017402416	105000	9123.903674602509
21	-5.330379	2.4821568	-0.6	-10.0	0.012658228	0.11179443	1.0	0.0	63.050632	397.0	0.003609090909090909	-2.228164	1.6045879	2.1514382	-6.9758906	0.020843357	0.08486966	0.94192666	-0.17787132	4.839687e-10	-0.00069273595	1.001358e-09	-0.0006511634	1.1850008	-0.16967046	0.0062014135	-0.0033322359	27.662432	0.26314163	79.0	0.79275674	0.011290708	110000	9577.495612621307
22	-5.162195	2.5433624	-0.6	-10.0	0.048780486	0.2154088	1.0	0.0	60.878048	401.0	0.0034869565217391305	-2.2963598	1.6945622	2.6157439	-8.157917	0.017082816	0.049164843	0.455177	-0.083260804	-3.3828315e-10	-0.0006026521	4.529953e-10	-0.0007209637	1.3862724	-0.1575824	0.019613532	-0.0020000096	27.925573	0.41716957	57.0	0.7594064	0.012164321	115000	10034.303330659866
23	-5.4896107	2.7005334	-0.5	-10.0	0.038961038	0.19350213	1.0	0.0	63.896103	404.0	0.0033666666666666667	-2.4840527	1.679657	3.944163	-6.727261	0.022369433	0.05244827	0.45836747	-0.1629169	-2.1731882e-11	-0.00068930106	6.437302e-10	-0.00085345225	1.957671	-0.23439991	0.017268835	-0.0025624959	28.342743	0.4291706	40.0	0.7494677	0.012468644	120000	10486.555622816086
