Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
16	-3.6160378	1.3694192	-1.0	-10.0	0.018867925	0.13605855	1.0	0.0	46.64151	366.0	0.004305882352941177	-0.028747749	0.055521537	0.1590219	-0.36611345	0.0	0.0	0.0	0.0	2.269745e-08	-0.005102829	0.0	0.0	0.005512429	-0.0016831087	100.0	0.0	79.0	0.6936459	0.00660271	85000	8431.013967990875
17	-3.7932036	1.6673485	-1.8	-10.0	0.009708738	0.09805342	1.0	0.0	48.39806	367.0	0.004077777777777777	-0.031682316	0.04773943	0.049969167	-0.28298298	0.0	0.0	0.0	0.0	-2.193451e-09	-0.0056271446	0.0	0.0	0.0067910417	-0.0014364729	100.0	0.0	79.0	0.6685702	0.0062001785	90000	8928.53394317627
18	-3.7038095	1.5632032	-1.5	-10.0	0.00952381	0.09712419	1.0	0.0	47.514286	368.0	0.0038736842105263156	-0.034017853	0.0651692	0.076023094	-0.71357185	0.0	0.0	0.0	0.0	8.773804e-09	-0.0076961364	0.0	0.0	0.006280699	-0.0020725857	100.0	0.0	79.0	0.6621642	0.00540594	95000	9426.02462720871
19	-3.524771	1.5918461	-1.4	-10.0	0.0091743115	0.09534224	1.0	0.0	45.74312	369.0	0.00369	-0.021017719	0.040725883	0.06987011	-0.39967486	0.0	0.0	0.0	0.0	-7.6293943e-10	-0.008372846	0.0	0.0	0.004993745	-0.0006257086	100.0	0.0	79.0	0.6715446	0.0045942627	100000	9925.297003030777
20	-3.814563	2.0138555	-1.4	-10.0	0.0	0.0	0.0	0.0	48.291264	369.0	0.003514285714285714	-0.037801113	0.05674013	0.058188092	-0.4577748	0.0	0.0	0.0	0.0	2.861023e-10	-0.006199341	0.0	0.0	0.0017082912	-0.0012622663	100.0	0.0	79.0	0.66998506	0.0088755535	105000	10420.301608800888
21	-3.5472224	1.4673901	-1.4	-10.0	0.018518519	0.13481687	1.0	0.0	45.962963	371.0	0.003372727272727273	-0.024832778	0.039831635	0.032713536	-0.38133416	0.0	0.0	0.0	0.0	-1.3828277e-08	-0.0059557115	0.0	0.0	0.010751132	-0.0024566054	100.0	0.0	79.0	0.5799683	0.0052861944	110000	10915.86939048767
22	-3.771154	1.8326459	-1.4	-10.0	0.028846154	0.16737399	1.0	0.0	47.759617	374.0	0.003252173913043478	-0.056155358	0.12014215	0.08539513	-0.97728586	0.0	0.0	0.0	0.0	1.525879e-08	-0.00607875	0.0	0.0	0.011265219	-0.0012673093	100.0	0.0	79.0	0.60175556	0.005670301	115000	11413.656237125397
23	-3.5850468	1.8258171	-1.5	-10.0	0.0	0.0	0.0	0.0	46.233646	374.0	0.0031166666666666665	-0.045496393	0.072089575	0.092943	-0.68390435	0.0	0.0	0.0	0.0	7.6293943e-10	-0.0061593265	0.0	0.0	0.0026035206	-0.0016367906	100.0	0.0	79.0	0.5909455	0.0045674187	120000	11912.45783495903
24	-3.3309736	1.420587	-1.5	-10.0	0.0	0.0	0.0	0.0	44.0177	374.0	0.002992	-0.02528446	0.0535244	0.06394762	-0.4850501	0.0	0.0	0.0	0.0	-9.536743e-09	-0.0065461546	0.0	0.0	0.0013259687	-0.00031939452	100.0	0.0	79.0	0.59008497	0.00491826	125000	12409.152797222137
25	-3.382301	1.7561135	-1.5	-10.0	0.0088495575	0.093654916	1.0	0.0	44.238937	375.0	0.0028846153846153848	-0.027985925	0.055159297	0.03942239	-0.2955112	0.0	0.0	0.0	0.0	-2.002716e-09	-0.0038800845	0.0	0.0	0.006275142	-0.001058483	100.0	0.0	79.0	0.5512247	0.0045335707	130000	12903.99078965187
26	-3.4576576	1.8537301	-1.2	-10.0	0.0	0.0	0.0	0.0	44.981983	375.0	0.002777777777777778	-0.036401674	0.051503554	0.05524469	-0.49450275	0.0	0.0	0.0	0.0	1.0490417e-09	-0.008310861	0.0	0.0	0.0013448664	-0.00088394096	100.0	0.0	79.0	0.58103895	0.006488916	135000	13399.348908662796
27	-3.4549553	1.7455087	-1.4	-10.0	0.027027028	0.16216217	1.0	0.0	44.855854	378.0	0.0027	-0.026940754	0.048089333	0.0587711	-0.40043247	0.0	0.0	0.0	0.0	5.722046e-10	-0.0055722585	0.0	0.0	0.01488053	-0.0025152666	100.0	0.0	79.0	0.58355194	0.006558168	140000	13893.871306419373
28	-3.3061402	1.2033058	-1.3	-10.0	0.04385965	0.20478277	1.0	0.0	43.57895	383.0	0.0026413793103448277	-0.03712373	0.053204056	0.10835129	-0.53934395	0.0	0.0	0.0	0.0	1.9931793e-08	-0.0066631082	0.0	0.0	0.017727448	-0.0027728518	100.0	0.0	79.0	0.5944353	0.0037157182	145000	14389.482268571854
29	-3.1965811	1.4443485	-1.4	-10.0	0.008547009	0.09205412	1.0	0.0	42.589745	384.0	0.00256	-0.035373718	0.067818485	0.078384966	-0.47931197	0.0	0.0	0.0	0.0	-5.531311e-09	-0.009158344	0.0	0.0	0.0034989517	-0.0013586436	100.0	0.0	79.0	0.61221516	0.008359993	150000	14885.029167175293
30	-3.5761466	1.9151208	-1.4	-10.0	0.018348623	0.13420859	1.0	0.0	45.85321	386.0	0.0024903225806451614	-0.034967277	0.060044713	0.076876216	-0.63336396	0.0	0.0	0.0	0.0	2.4795533e-08	-0.0027634662	0.0	0.0	0.010706495	-0.0018604677	100.0	0.0	6.0	0.5707757	0.0110388575	155000	15379.018588542938
31	-3.9366333	2.2810767	-1.3	-10.0	0.0	0.0	0.0	0.0	49.168316	386.0	0.0024125	-0.06077539	0.09978986	0.087571196	-0.8341218	0.0	0.0	0.0	0.0	-3.1471252e-09	-0.0046923878	0.0	0.0	0.0030753014	-0.0010554239	100.0	0.0	79.0	0.5927012	0.0037439845	160000	15873.909177780151
32	-3.4639642	1.849509	-1.4	-10.0	0.009009009	0.0944873	1.0	0.0	44.945946	387.0	0.0023454545454545455	-0.035946775	0.06987352	0.06143888	-0.5376507	0.0	0.0	0.0	0.0	-8.487701e-09	-0.0074020163	0.0	0.0	0.0064783823	-0.0013311841	100.0	0.0	79.0	0.59945166	0.0091307005	165000	16370.113326072693
33	-3.5833333	1.8400131	-1.3	-10.0	0.046296295	0.21012603	1.0	0.0	46.01852	392.0	0.0023058823529411763	-0.044189174	0.07414363	0.06726496	-0.4979352	0.0	0.0	0.0	0.0	-8.201599e-09	-0.0064859106	0.0	0.0	0.021261279	-0.0046366155	100.0	0.0	79.0	0.5893624	0.0056677344	170000	16867.929756641388
34	-3.3469026	1.4160315	-1.3	-10.0	0.017699115	0.13185544	1.0	0.0	43.9823	394.0	0.0022514285714285713	-0.051976778	0.08966386	0.15166041	-0.6450881	0.0	0.0	0.0	0.0	-1.2969971e-08	-0.011096635	0.0	0.0	0.010535856	-0.008158166	100.0	0.0	79.0	0.6301262	0.00601197	175000	17366.807470083237
35	-3.4654546	1.4781091	-1.3	-10.0	0.0	0.0	0.0	0.0	45.354546	394.0	0.002188888888888889	-0.032655776	0.06834475	0.08621875	-0.7909128	0.0	0.0	0.0	0.0	1.0585785e-08	-0.009296492	0.0	0.0	0.002882181	-0.0020669682	100.0	0.0	74.0	0.61159784	0.012293807	180000	17862.522272586823
36	-3.4481816	1.7087865	-1.1	-10.0	0.009090909	0.09491189	1.0	0.0	44.881817	395.0	0.002135135135135135	-0.021134196	0.031087015	0.05684744	-0.26959994	0.0	0.0	0.0	0.0	7.4386595e-09	-0.005262449	0.0	0.0	0.002393655	-0.00039339485	100.0	0.0	79.0	0.6197825	0.009468676	185000	18357.242174863815
37	-3.3734515	1.7096301	-1.1	-10.0	0.017699115	0.13185544	1.0	0.0	44.053097	397.0	0.0020894736842105265	-0.022854885	0.03131099	0.04901453	-0.30167064	0.0	0.0	0.0	0.0	-8.773804e-09	-0.009945656	0.0	0.0	0.008985991	-0.0017004726	100.0	0.0	79.0	0.62534475	0.0077969404	190000	18852.848986387253
38	-3.335398	1.2930666	-1.4	-10.0	0.026548672	0.1607602	1.0	0.0	43.964603	400.0	0.0020512820512820513	-0.02822966	0.048235122	0.04623703	-0.42330578	0.0	0.0	0.0	0.0	2.1457672e-10	-0.006974647	0.0	0.0	0.012925929	-0.0018996131	100.0	0.0	79.0	0.6193054	0.006423477	195000	19353.341494083405
39	-3.321239	1.7006742	-1.3	-10.0	0.0	0.0	0.0	0.0	43.725662	400.0	0.002	-0.03541755	0.0756397	0.09283076	-0.6360902	0.0	0.0	0.0	0.0	6.6757204e-09	-0.0062861554	0.0	0.0	0.0027743361	-0.0014847686	100.0	0.0	79.0	0.6158958	0.0038824284	200000	19848.907614946365
40	-3.8833337	1.976533	-1.5	-10.0	0.0	0.0	0.0	0.0	48.97059	400.0	0.001951219512195122	-0.038011134	0.0484803	0.045140807	-0.28108534	0.0	0.0	0.0	0.0	-7.96318e-09	-0.009085441	0.0	0.0	0.0006844079	-0.00030224078	100.0	0.0	79.0	0.5827972	0.007608127	205000	20350.454877376556
41	-3.4387386	1.5896155	-1.3	-10.0	0.009009009	0.09448729	1.0	0.0	44.89189	401.0	0.0019095238095238095	-0.024799533	0.040390786	0.035622217	-0.26235813	0.0	0.0	0.0	0.0	1.5258789e-09	-0.008242843	0.0	0.0	0.0026355186	-0.00031163427	100.0	0.0	79.0	0.61864793	0.008931188	210000	20844.39249753952
42	-3.2119658	1.5702993	-1.1	-10.0	0.017094018	0.12962179	1.0	0.0	42.555557	403.0	0.0018744186046511628	-0.022246215	0.034054212	0.052864615	-0.21252123	0.0	0.0	0.0	0.0	-5.722046e-10	-0.0024203663	0.0	0.0	0.006004243	-0.0015777531	100.0	0.0	4.0	0.59686893	0.013187923	215000	21340.509375333786
43	-3.4603605	1.8403035	-1.4	-10.0	0.009009009	0.09448731	1.0	0.0	44.90991	404.0	0.0018363636363636364	-0.021556744	0.04002124	0.061544113	-0.42757687	0.0	0.0	0.0	0.0	8.9645384e-09	-0.0024978775	0.0	0.0	0.007994393	-0.0025573699	100.0	0.0	4.0	0.5429797	0.017116949	220000	21835.893713235855
