Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
14	-7.13492	2.3355882	-0.9	-10.0	0.015873017	0.12498425	1.0	0.0	78.85714	332.0	0.004426666666666666	-0.043185387	0.026972758	0.11321488	-0.19172995	0.0	0.0	0.0	0.0	1.3351441e-08	-0.0042015957	0.0	0.0	0.0018907002	-0.00032742007	100.0	0.0	79.0	0.68634903	0.0031685666	75000	6790.2976932525635
15	-6.9734373	2.4192097	-2.3	-10.0	0.03125	0.17399263	1.0	0.0	77.296875	334.0	0.004175	-0.034155365	0.02355868	0.0545658	-0.18623868	0.0	0.0	0.0	0.0	-1.1539459e-08	-0.0039415783	0.0	0.0	0.013983696	-0.0020490205	100.0	0.0	79.0	0.6791503	0.0048405584	80000	7233.998860120773
16	-6.5970583	2.5605588	-1.1	-10.0	0.10294118	0.30388203	1.0	0.0	73.411766	341.0	0.004011764705882353	-0.053959507	0.04612313	0.06691885	-0.26937193	0.0	0.0	0.0	0.0	4.696846e-09	-0.0045532584	0.0	0.0	0.022604467	-0.0043269396	100.0	0.0	79.0	0.66855586	0.006748889	85000	7693.583574771881
17	-6.921875	2.3794346	-0.9	-10.0	0.0625	0.24206147	1.0	0.0	76.953125	345.0	0.003833333333333333	-0.05986522	0.072051644	0.07522619	-0.56241643	0.0	0.0	0.0	0.0	-3.3950805e-08	-0.0069536623	0.0	0.0	0.021161307	-0.002592653	100.0	0.0	79.0	0.68262607	0.00573766	90000	8155.818675041199
18	-7.779661	2.192961	-3.5	-10.0	0.0	0.0	0.0	0.0	84.50848	345.0	0.003631578947368421	-0.058197908	0.06439553	0.047757365	-0.47221422	0.0	0.0	0.0	0.0	1.7929077e-08	-0.003640443	0.0	0.0	0.0035304867	-0.0030727198	100.0	0.0	79.0	0.67750156	0.005628158	95000	8603.552502632141
19	-8.045614	2.0641527	-0.9	-10.0	0.01754386	0.13128623	1.0	0.0	87.01755	346.0	0.00346	-0.03719769	0.027022181	0.042691544	-0.20796712	0.0	0.0	0.0	0.0	-7.6293943e-10	-0.005912336	0.0	0.0	0.0018854027	-0.00036663865	100.0	0.0	79.0	0.6481458	0.007439482	100000	9051.525371074677
20	-7.4213123	2.1002822	-3.6	-10.0	0.016393442	0.12698306	1.0	0.0	81.78689	347.0	0.003304761904761905	-0.036778595	0.025458615	0.020184154	-0.22809862	0.0	0.0	0.0	0.0	-7.6293943e-10	-0.0068161236	0.0	0.0	0.005947607	-0.0014727162	100.0	0.0	22.0	0.636605	0.013773941	105000	9512.51941037178
21	-7.078125	2.5285537	-1.1	-10.0	0.03125	0.17399263	1.0	0.0	77.828125	349.0	0.003172727272727273	-0.035922132	0.032435063	0.05152368	-0.22741586	0.0	0.0	0.0	0.0	-7.05719e-09	-0.0063566775	0.0	0.0	0.0075281723	-0.0015020547	100.0	0.0	79.0	0.6863533	0.01185149	110000	9979.435287237167
22	-7.5066667	2.2965093	-2.2	-10.0	0.0	0.0	0.0	0.0	81.85	349.0	0.0030347826086956522	-0.0430304	0.04010738	0.03421645	-0.2692524	0.0	0.0	0.0	0.0	3.2424927e-09	-0.004295593	0.0	0.0	0.0013368125	-0.0009815639	100.0	0.0	79.0	0.71348566	0.0047381525	115000	10445.439574241638
23	-7.5549994	2.2688048	-0.9	-10.0	0.016666668	0.12801908	1.0	0.0	82.51667	350.0	0.002916666666666667	-0.035918817	0.02143836	0.0277223	-0.18243156	0.0	0.0	0.0	0.0	1.5258789e-09	-0.0053873616	0.0	0.0	0.0016601727	-0.0002352515	100.0	0.0	79.0	0.68503743	0.0052640163	120000	10901.72644996643
24	-6.722727	2.5407465	-1.0	-10.0	0.060606062	0.23860629	1.0	0.0	74.72727	354.0	0.002832	-0.036336683	0.02946575	0.02633547	-0.27514744	0.0	0.0	0.0	0.0	1.3256073e-08	-0.004777178	0.0	0.0	0.013296273	-0.0017949361	100.0	0.0	79.0	0.6913004	0.005883245	125000	11363.459339141846
25	-6.9296875	2.2937877	-1.9	-10.0	0.0	0.0	0.0	0.0	77.546875	354.0	0.002723076923076923	-0.04269253	0.039023172	0.050595254	-0.3014474	0.0	0.0	0.0	0.0	8.106232e-09	-0.007514499	0.0	0.0	0.0013591038	-0.0010564682	100.0	0.0	79.0	0.7240969	0.008027713	130000	11811.200884580612
26	-7.6762714	2.1379015	-3.2	-10.0	0.0	0.0	0.0	0.0	84.0339	354.0	0.0026222222222222224	-0.029464014	0.023384629	0.03301585	-0.18256713	0.0	0.0	0.0	0.0	2.670288e-09	-0.0077536465	0.0	0.0	0.00027357365	-8.3889565e-05	100.0	0.0	79.0	0.77698064	0.0053322474	135000	12263.163856267929
27	-7.2999997	2.1208568	-1.5	-10.0	0.0	0.0	0.0	0.0	81.11475	354.0	0.0025285714285714286	-0.033441905	0.021941837	0.018531874	-0.16914259	0.0	0.0	0.0	0.0	-1.1062622e-08	-0.009520855	0.0	0.0	0.00037533746	-0.00012476312	100.0	0.0	79.0	0.7639505	0.0076624816	140000	12713.46273469925
28	-6.677273	2.3947415	-2.5	-10.0	0.015151516	0.12215543	1.0	0.0	75.106064	355.0	0.0024482758620689654	-0.029618444	0.020067865	0.019047135	-0.110998414	0.0	0.0	0.0	0.0	9.822846e-09	-0.0040814863	0.0	0.0	0.006827578	-0.00082823634	100.0	0.0	79.0	0.7363281	0.005646861	145000	13162.912293434143
29	-6.498508	2.3708107	-1.0	-10.0	0.029850746	0.17017546	1.0	0.0	73.68657	357.0	0.00238	-0.042039745	0.03392432	0.032431748	-0.29801783	0.0	0.0	0.0	0.0	-7.534027e-09	-0.0034991128	0.0	0.0	0.0063999775	-0.0004732865	100.0	0.0	8.0	0.69171053	0.011722605	150000	13612.820985078812
30	-6.8796873	2.042454	-1.7	-10.0	0.0	0.0	0.0	0.0	77.734375	357.0	0.002303225806451613	-0.037999824	0.03876577	0.043702263	-0.3728531	0.0	0.0	0.0	0.0	-1.9073487e-09	-0.008440225	0.0	0.0	0.001318491	-0.0009293685	100.0	0.0	79.0	0.7525453	0.0103316195	155000	14075.37745308876
31	-6.675758	2.4008875	-1.0	-10.0	0.045454547	0.20829889	1.0	0.0	75.09091	360.0	0.00225	-0.03058672	0.021412255	0.02740296	-0.1324468	0.0	0.0	0.0	0.0	2.0980835e-09	-0.009076354	0.0	0.0	0.0055436897	-0.00079862494	100.0	0.0	79.0	0.7426152	0.0109857945	160000	14533.304827690125
32	-6.2115936	2.5369465	-0.5	-10.0	0.028985508	0.16776577	1.0	0.0	71.04348	362.0	0.002193939393939394	-0.033991307	0.0302887	0.05542053	-0.23653354	0.0	0.0	0.0	0.0	3.0517577e-09	-0.006688734	0.0	0.0	0.0045291614	-0.00082337856	100.0	0.0	79.0	0.72973216	0.005984403	165000	14987.186594724655
33	-6.6575756	2.3071077	-1.0	-10.0	0.030303031	0.17141983	1.0	0.0	75.07576	364.0	0.0021411764705882353	-0.033475474	0.03182638	0.04320241	-0.2525715	0.0	0.0	0.0	0.0	1.4591217e-08	-0.005942384	0.0	0.0	0.009016818	-0.0016438616	100.0	0.0	79.0	0.7038526	0.010712262	170000	15450.046173334122
34	-6.2442856	2.2472608	-1.1	-10.0	0.071428575	0.2575394	1.0	0.0	70.92857	369.0	0.0021085714285714284	-0.039642304	0.037033092	0.045029797	-0.2957953	0.0	0.0	0.0	0.0	-3.8146972e-10	-0.006733822	0.0	0.0	0.01620968	-0.0023229131	100.0	0.0	79.0	0.7576455	0.008145638	175000	15906.550419330597
35	-6.0267606	2.1652803	-2.4	-10.0	0.014084507	0.11783943	1.0	0.0	69.71831	370.0	0.0020555555555555557	-0.058817834	0.06714556	0.16261548	-0.47729847	0.0	0.0	0.0	0.0	-1.6212464e-09	-0.007705398	0.0	0.0	0.007217235	-0.0034617959	100.0	0.0	79.0	0.7121199	0.009750178	180000	16353.982149600983
36	-6.5611935	2.3906507	-1.4	-10.0	0.014925373	0.12125429	1.0	0.0	74.149254	371.0	0.0020054054054054055	-0.028507587	0.029234301	0.14319022	-0.2765179	0.0	0.0	0.0	0.0	1.1634826e-08	-0.008064393	0.0	0.0	0.0025897888	-0.00038549653	100.0	0.0	79.0	0.7349637	0.006941835	185000	16802.300627946854
37	-6.5507455	2.3265102	-0.5	-10.0	0.014925373	0.121254295	1.0	0.0	74.208954	372.0	0.001957894736842105	-0.024970025	0.02668145	0.06099789	-0.23403738	0.0	0.0	0.0	0.0	-6.866455e-09	-0.005678752	0.0	0.0	0.0025756247	-0.00086838694	100.0	0.0	79.0	0.7540479	0.0053571113	190000	17258.84186387062
