Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-3.234815	2.4621675	-0.3	-7.0	0.37037036	0.4829039	1.0	0.0	36.666668	50.0	0.01	-0.119767435	0.37222937	0.63031524	-0.79206175	0.0	0.0	0.0	0.0	-4.577637e-09	-0.013619834	0.0	0.0	0.23889332	-0.16020778	500.0	0.0	49.0	1.0555035	0.012214626	5000	441.0275206565857
1	-3.6463418	2.6227365	-0.3	-7.0	0.33333334	0.47140455	1.0	0.0	40.577236	91.0	0.0091	-0.05347345	0.21308945	0.23943344	-1.1753278	0.0	0.0	0.0	0.0	7.05719e-09	-0.010516893	0.0	0.0	0.053461082	-0.005644504	500.0	0.0	5.0	1.0279808	0.015052707	10000	878.901020526886
2	-5.508046	2.2833338	-0.9	-7.0	0.1954023	0.3965101	1.0	0.0	56.850574	108.0	0.0072	-0.016003286	0.1337657	0.12233977	-1.0286123	0.0	0.0	0.0	0.0	-3.2424927e-09	-0.0063380995	0.0	0.0	0.030273838	-0.0039531477	500.0	0.0	79.0	0.994366	0.011453686	15000	1316.2371971607208
3	-4.528302	2.7764428	-0.4	-7.0	0.3207547	0.4667667	1.0	0.0	47.04717	142.0	0.0071	-0.051828563	0.18530038	0.13243583	-1.2088468	0.0	0.0	0.0	0.0	1.1825562e-08	-0.008794728	0.0	0.0	0.04980252	-0.0074770562	500.0	0.0	79.0	0.96454465	0.007007232	20000	1748.8576998710632
4	-5.07732	2.5982351	-0.8	-7.0	0.3298969	0.47017542	1.0	0.0	51.340206	174.0	0.00696	-0.06731052	0.17591764	0.16350394	-1.0707799	0.0	0.0	0.0	0.0	5.2452087e-09	-0.004938818	0.0	0.0	0.059048522	-0.0055456534	500.0	0.0	5.0	0.9216607	0.014841667	25000	2181.220230102539
5	-5.308602	2.5545514	-0.9	-7.0	0.2795699	0.44878793	1.0	0.0	53.44086	200.0	0.006666666666666667	-0.06528231	0.15288424	0.1565709	-0.915259	0.0	0.0	0.0	0.0	2.5749207e-09	-0.0077842604	0.0	0.0	0.03401855	-0.0025978163	500.0	0.0	79.0	0.87974113	0.009732382	30000	2612.695863008499
6	-5.5840907	2.4635932	-0.5	-7.0	0.22727273	0.4190702	1.0	0.0	56.090908	220.0	0.006285714285714286	-0.07269385	0.16881604	0.08657279	-1.013921	0.0	0.0	0.0	0.0	2.002716e-09	-0.0068923086	0.0	0.0	0.03247583	-0.006288143	500.0	0.0	79.0	0.81659734	0.008266107	35000	3046.26810669899
7	-5.4197803	2.503326	-0.8	-7.0	0.2857143	0.4517539	1.0	0.0	54.31868	246.0	0.00615	-0.05521864	0.12617593	0.15841928	-1.1138729	0.0	0.0	0.0	0.0	2.5749207e-09	-0.0075761518	0.0	0.0	0.038604286	-0.005905155	500.0	0.0	79.0	0.74433315	0.003597493	40000	3485.684179544449
8	-6.146913	2.047949	-0.8	-7.0	0.14814815	0.35524675	1.0	0.0	61.469135	258.0	0.005733333333333333	-0.07222993	0.15121238	0.10165961	-1.0683628	0.0	0.0	0.0	0.0	7.629395e-09	-0.009987293	0.0	0.0	0.024367943	-0.00918481	500.0	0.0	79.0	0.7168742	0.0075763473	45000	3917.584146499634
9	-6.2024994	1.9038761	-1.0	-7.0	0.15	0.35707143	1.0	0.0	62.1625	270.0	0.0054	-0.045193054	0.089371875	0.13739313	-0.771885	0.0	0.0	0.0	0.0	-1.9073487e-09	-0.0076572653	0.0	0.0	0.024626685	-0.005586827	500.0	0.0	79.0	0.6765547	0.0039875014	50000	4350.594222784042
10	-6.00241	2.127727	-0.9	-7.0	0.18072289	0.38478842	1.0	0.0	60.024097	285.0	0.0051818181818181815	-0.065448254	0.12367978	0.15919602	-0.7769818	0.0	0.0	0.0	0.0	7.4386595e-09	-0.010018179	0.0	0.0	0.020263223	-0.003787307	500.0	0.0	79.0	0.6773891	0.008611411	55000	4786.3510093688965
11	-6.423376	1.6945976	-1.2	-7.0	0.103896104	0.3051257	1.0	0.0	64.233765	293.0	0.004883333333333333	-0.05618423	0.11439127	0.14051056	-0.7943659	0.0	0.0	0.0	0.0	8.392334e-09	-0.008274512	0.0	0.0	0.015109354	-0.003550088	500.0	0.0	79.0	0.60938203	0.005492545	60000	5225.80433678627
12	-6.2375	1.9137905	-1.1	-7.0	0.1375	0.34437442	1.0	0.0	62.375	304.0	0.004676923076923077	-0.038012277	0.071823835	0.118055515	-0.70492935	0.0	0.0	0.0	0.0	8.9645384e-09	-0.008781778	0.0	0.0	0.016952528	-0.0028456738	500.0	0.0	79.0	0.64773846	0.0025999153	65000	5690.286593198776
13	-6.7081084	1.2227303	-1.2	-7.0	0.054054055	0.22612432	1.0	0.0	67.08108	308.0	0.0044	-0.043416996	0.0882131	0.14551629	-0.8102694	0.0	0.0	0.0	0.0	3.004074e-09	-0.0068810866	0.0	0.0	0.0119145615	-0.003372402	500.0	0.0	76.0	0.63317674	0.01224922	70000	6128.025216579437
14	-6.3012657	1.837685	-1.1	-7.0	0.12658228	0.33250442	1.0	0.0	63.012657	318.0	0.00424	-0.053806677	0.091498576	0.16690415	-0.9613336	0.0	0.0	0.0	0.0	-9.536743e-09	-0.010139557	0.0	0.0	0.01934742	-0.005793239	500.0	0.0	79.0	0.68355876	0.0065121935	75000	6573.135910511017
15	-6.5773335	1.4345798	-1.4	-7.0	0.08	0.27129322	1.0	0.0	65.77333	324.0	0.00405	-0.045514386	0.10206722	0.13153924	-0.87030673	0.0	0.0	0.0	0.0	4.9591065e-09	-0.0075834617	0.0	0.0	0.0129017	-0.002860671	500.0	0.0	79.0	0.7140241	0.006616902	80000	7026.2607934474945
