Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-2.395679	2.1086345	-0.4	-10.0	0.4074074	0.4913518	1.0	0.0	30.47531	66.0	0.0132	-0.47617042	0.24860209	0.08991613	-1.0519565	-0.068948716	0.2536623	0.5553958	-0.701842	-1.6403199e-08	-0.0019466818	-2.450943e-08	-0.0042585908	3.5104735	-1.6709892	0.28176522	-0.18876913	10.0	2.000965	4.0	1.00449	0.019333515	5000	476.08888936042786
1	-4.9034486	3.0974386	-0.6	-10.0	0.1954023	0.3965101	1.0	0.0	56.367817	83.0	0.0083	-1.6040906	0.62225753	0.5316065	-4.096235	0.09337256	0.13884212	0.88893837	-0.19532673	-9.974513e-10	-0.0015637471	2.2172928e-09	-0.0018040574	4.2245045	-1.9686489	0.04286369	-0.008264922	12.000965	1.3421888	13.0	0.98287296	0.013585446	10000	962.976199388504
2	-4.622826	2.746385	-0.4	-10.0	0.19565217	0.39670187	1.0	0.0	54.239132	101.0	0.006733333333333333	-2.718485	1.3381356	1.3293632	-6.37162	0.06510086	0.09928973	0.5978409	-0.12107871	-3.5722435e-11	-0.0007459556	-3.8146972e-10	0.00051496195	2.4368446	-0.55485904	0.040363245	-0.0050293095	13.343154	1.297535	8.0	0.9993185	0.013542114	15000	1447.9328479766846
3	-2.964179	1.920409	-0.3	-10.0	0.31343284	0.46388865	1.0	0.0	37.19403	143.0	0.00715	-2.0805688	1.5176508	1.927832	-5.5811424	0.101972856	0.13796814	1.1151145	-0.178631	-2.3937146e-09	-0.0010666423	-2.7656555e-09	-0.0027316138	1.7729398	-0.7732779	0.079981446	-0.011498608	14.640689	2.0019999	12.0	0.99409765	0.016362084	20000	1932.8966867923737
4	-3.9382348	2.1190102	-0.4	-10.0	0.11764706	0.32218972	1.0	0.0	48.764706	155.0	0.0062	-1.4475565	1.17764	1.7263798	-4.348269	0.0847211	0.1343569	0.9017236	-0.22321224	1.7258696e-10	-0.00084266847	2.861023e-10	-0.0006476289	1.3601866	-0.4060853	0.05881502	-0.016928658	16.642689	1.1261559	10.0	0.9538594	0.0140317995	25000	2420.7677526474
5	-3.2747898	1.6401588	-0.4	-7.5	0.19327731	0.39486852	1.0	0.0	41.806725	178.0	0.005933333333333333	-1.826383	1.4050812	1.9990008	-5.2890306	0.06758968	0.07569959	0.43093506	-0.15798911	-5.265546e-09	-0.001151833	-4.6253206e-09	-0.0021501998	0.86008245	-0.35366458	0.05801776	-0.012080964	17.768845	1.3542881	12.0	0.8766453	0.016602773	30000	2912.2648463249207
6	-4.077551	2.1648176	-0.3	-10.0	0.091836736	0.28879535	1.0	0.0	50.316326	187.0	0.005342857142857143	-1.4681792	1.2362472	1.9207935	-4.2585344	0.08453182	0.12690507	0.82234305	-0.21315922	-2.4271944e-09	-0.0005610736	-2.5391578e-09	4.23478e-05	1.1072628	-0.3169706	0.033648394	-0.0062155593	19.123133	0.89193916	12.0	0.80834514	0.01447616	35000	3402.160774707794
7	-3.7169812	2.0707064	-0.4	-10.0	0.0754717	0.26415095	1.0	0.0	47.0283	195.0	0.004875	-1.8983451	1.5241348	2.1285555	-5.4427123	0.05530982	0.08605924	0.5500962	-0.12121131	4.268502e-10	-0.0009789467	3.8146972e-10	-0.0012472441	1.0171165	-0.20145422	0.028823342	-0.0049520656	20.015072	0.6427727	48.0	0.77215254	0.012441831	40000	3886.597270965576
8	-3.8611653	2.1223376	-0.4	-10.0	0.106796116	0.30885383	1.0	0.0	48.00971	206.0	0.004577777777777778	-1.74147	1.4631331	1.9231952	-7.968261	0.035398535	0.060636085	0.43729317	-0.08247036	-8.118842e-10	-0.00043765287	-4.1723253e-10	-0.0013468607	1.1682209	-0.12844408	0.038019385	-0.0045489036	20.657845	0.8867607	8.0	0.7705214	0.018476108	45000	4370.463256120682
9	-4.012121	2.165257	-0.6	-10.0	0.030303031	0.17141984	1.0	0.0	50.232323	209.0	0.00418	-1.6453973	1.5279988	1.9114571	-8.505477	0.04434475	0.06727852	0.3716816	-0.21672653	1.4586983e-09	-0.0008319753	1.2785196e-09	-0.0007152679	1.2182164	-0.29734403	0.012465888	-0.0031413157	21.544605	0.38267326	79.0	0.7366552	0.011969053	50000	4863.2979056835175
10	-4.468478	2.388693	-0.5	-10.0	0.054347824	0.22670278	1.0	0.0	54.25	214.0	0.0038909090909090907	-2.084329	1.6108179	1.8191942	-5.9871	0.015710734	0.03630463	0.25915077	-0.08258987	7.829441e-11	-0.000301646	5.6028365e-10	-0.00078055984	1.8183732	-0.25755858	0.01869588	-0.0018625576	21.927279	0.4349575	8.0	0.74517673	0.013863119	55000	5348.592645168304
11	-4.8114944	2.368977	-1.1	-10.0	0.022988506	0.14986672	1.0	0.0	57.471264	216.0	0.0036	-2.109993	1.7304261	2.4166267	-6.440213	0.022686722	0.04197977	0.27494156	-0.06728001	-7.1614076e-11	-0.0005520562	-1.4305115e-10	-0.0004534174	2.453305	-0.4899509	0.009937827	-0.0012708269	22.362236	0.22578621	79.0	0.7644482	0.009027706	60000	5833.824015140533
12	-4.2999997	2.43996	-0.3	-10.0	0.021276595	0.14430489	1.0	0.0	52.712765	218.0	0.003353846153846154	-2.248473	1.9323255	2.343165	-7.6079187	0.013333606	0.038156737	0.22940809	-0.12555394	-1.0749287e-10	-0.0006531165	-5.00679e-10	-0.0004607175	1.7526971	-0.3239175	0.007913047	-0.00053768745	22.588022	0.13411903	79.0	0.7179998	0.009420764	65000	6321.586015224457
13	-3.95	2.1629379	-0.9	-10.0	0.06	0.23748685	1.0	0.0	49.4	224.0	0.0032	-2.2423782	1.8561742	2.3160033	-7.429664	0.021065012	0.043741047	0.2504165	-0.11825081	4.6460935e-10	-0.00064289966	4.053116e-10	-0.00048786367	1.6165315	-0.3167522	0.023886856	-0.0027190037	22.722141	0.52313614	79.0	0.77031434	0.008735524	70000	6800.765779972076
14	-4.0030303	1.8531685	-0.4	-10.0	0.07070707	0.25633493	1.0	0.0	50.141415	231.0	0.00308	-2.0003996	1.6678442	1.919118	-7.047483	0.026633728	0.0635665	0.381124	-0.11378512	-4.993988e-10	-0.00024356045	-4.4703483e-10	-0.0009189048	1.188434	-0.3113668	0.028828036	-0.007542718	23.245277	0.7812462	6.0	0.7202131	0.015948692	75000	7281.385512113571
15	-4.22	1.976259	-0.4	-10.0	0.042105265	0.20082934	1.0	0.0	52.389473	235.0	0.0029375	-1.6284412	1.5070546	1.6206995	-6.065594	0.040139515	0.09699425	0.5129655	-0.14212622	2.234787e-09	-0.0002541594	1.6450882e-09	-0.00030096553	1.3630617	-0.29770136	0.023427874	-0.0076203756	24.026524	0.53549004	12.0	0.6954278	0.014079558	80000	7763.737681627274
16	-4.325806	2.0949967	-0.6	-10.0	0.032258064	0.17668472	1.0	0.0	53.430107	238.0	0.0028	-2.0745294	1.6422234	2.2951102	-7.3088007	0.025043426	0.06977907	0.50642186	-0.11747707	-3.3553169e-10	-0.00021748767	-1.16229054e-10	-9.97451e-05	1.4004093	-0.26618886	0.009514312	-0.0012842389	24.562014	0.35629845	7.0	0.6719157	0.011481288	85000	8242.241486787796
17	-4.203125	2.169507	-0.9	-10.0	0.083333336	0.2763854	1.0	0.0	51.541668	246.0	0.0027333333333333333	-2.0476842	1.6059142	2.100291	-6.9776654	0.013352994	0.043577246	0.38374928	-0.08674668	2.0032602e-09	-0.0004021518	2.1219253e-09	-0.0011119038	1.258936	-0.3300131	0.029345263	-0.00754964	24.918312	0.9347267	5.0	0.65353185	0.022418752	90000	8728.120551109314
18	-3.7295241	1.9249699	-0.3	-10.0	0.07619048	0.26530266	1.0	0.0	47.352383	254.0	0.002673684210526316	-1.6750213	1.7307273	1.762408	-9.1732435	0.04859375	0.11565672	0.89415205	-0.14762199	-2.0644418e-10	-0.0008696939	-7.2717665e-10	-0.00090339954	0.9921844	-0.20026135	0.025605062	-0.00490373	25.853039	1.0482788	33.0	0.6693288	0.0128306	95000	9213.450731992722
19	-4.452748	2.0512843	-1.1	-10.0	0.043956045	0.20499735	1.0	0.0	54.56044	258.0	0.00258	-1.7730551	1.5577574	1.1974753	-5.8251843	0.046119515	0.08847266	0.8039338	-0.1044538	1.622559e-09	-0.00079629343	1.3709068e-09	-0.0010229547	1.3414456	-0.33136094	0.017438762	-0.0038499516	26.901318	0.65774727	36.0	0.6390898	0.012793543	100000	9687.242849349976
20	-4.593259	2.2837875	-1.4	-10.0	0.033707865	0.18047619	1.0	0.0	55.573032	261.0	0.0024857142857142855	-1.9839367	1.691466	1.4997723	-7.217532	0.02422807	0.06401355	0.5131868	-0.1481075	-1.388257e-09	-0.0009248983	-2.7418137e-10	-0.0010195983	1.6731135	-0.2877419	0.014960678	-0.0024131378	27.559065	0.4322796	53.0	0.6314931	0.013971933	105000	10130.014271497726
21	-4.211458	1.8166975	-0.4	-10.0	0.052083332	0.2221951	1.0	0.0	52.083332	266.0	0.002418181818181818	-2.1755428	1.8775755	1.4471942	-10.223678	0.030976545	0.07061629	0.61350167	-0.13843636	7.54762e-10	-0.00046303106	6.079674e-10	-0.0007333878	0.9905662	-0.24208504	0.021905335	-0.007357781	27.991344	0.65019035	11.0	0.70019054	0.013147833	110000	10573.210992097855
22	-4.465555	2.1110902	-0.4	-10.0	0.044444446	0.20608039	1.0	0.0	54.922222	270.0	0.0023478260869565218	-1.7817211	1.5946318	1.5684121	-6.484996	0.05220244	0.10889179	0.76555806	-0.22269604	-6.9382694e-10	-0.00052992353	-6.9141387e-10	-0.0006336049	0.5000653	-0.1372189	0.022857632	-0.007083662	28.641535	0.6347618	10.0	0.7454792	0.0156121785	115000	11013.924486875534
23	-4.309678	2.03824	-0.3	-10.0	0.032258064	0.17668472	1.0	0.0	53.387096	273.0	0.002275	-1.7703502	1.5981874	1.5917841	-6.8199825	0.02316066	0.060825743	0.6124961	-0.19264826	4.2449871e-10	-0.00064722635	1.1324883e-10	-0.00079267204	0.399744	-0.051876634	0.014229451	-0.002266924	29.276297	0.45332146	34.0	0.7014383	0.012320824	120000	11454.528231859207
24	-4.042857	2.1089218	-0.5	-10.0	0.010204081	0.10049855	1.0	0.0	50.642857	274.0	0.002192	-1.6851	1.5265435	1.2219296	-6.221339	0.03913143	0.09883879	0.7750773	-0.115265414	-3.5412567e-10	-0.0005892105	-4.4703483e-10	-0.0004032092	0.6726764	-0.144764	0.011432511	-0.0068133036	29.729618	0.08682442	79.0	0.7219363	0.012140059	125000	11897.93793463707
25	-4.428571	2.1378992	-0.7	-10.0	0.021978023	0.1466117	1.0	0.0	54.56044	276.0	0.0021230769230769233	-1.8706998	1.6800439	1.5012755	-8.355755	0.009555649	0.032013204	0.3552383	-0.11003122	1.2072551e-11	-0.00057005597	4.4107437e-10	-0.00054260273	0.7922867	-0.15543091	0.009558527	-0.002048079	29.816442	0.18175888	22.0	0.67256844	0.013200441	130000	12340.939128160477
26	-4.1113405	1.9889321	-0.3	-10.0	0.020618556	0.14210358	1.0	0.0	51.54639	278.0	0.0020592592592592594	-1.696632	1.5676184	1.1113728	-7.030271	0.019379703	0.04119948	0.34762624	-0.15016368	-1.957609e-10	-0.00026481424	2.682209e-10	-0.000103970866	0.5718746	-0.122583985	0.010839455	-0.0033663637	29.998201	0.21548843	17.0	0.668525	0.013595051	135000	12779.717452764511
27	-3.9700003	2.1047328	-0.6	-10.0	0.03	0.17058721	1.0	0.0	49.82	281.0	0.002007142857142857	-1.8636961	1.8121055	1.5358166	-7.717202	0.01197553	0.049025774	0.44958457	-0.08142258	6.6085254e-10	-0.0007513807	4.1127204e-10	-0.0006847483	0.5726534	-0.15426973	0.012674648	-0.0024601212	30.21369	0.3628826	44.0	0.69222736	0.01268042	140000	13222.619895219803
28	-3.99596	1.9980757	-0.7	-10.0	0.02020202	0.14069079	1.0	0.0	50.29293	283.0	0.0019517241379310344	-1.8196012	1.7567098	1.9435804	-8.2222	0.016281595	0.042705365	0.64864296	-0.068974465	-5.720754e-10	-0.000634042	-4.4107437e-10	-0.00064997026	0.43832803	-0.11475304	0.011190366	-0.0025443966	30.576572	0.25817108	41.0	0.7095522	0.012334957	145000	13662.64463853836
29	-4.0489793	1.9958756	-1.0	-10.0	0.06122449	0.23974162	1.0	0.0	50.47959	289.0	0.0019266666666666666	-1.7190263	1.5905889	1.7643354	-7.435207	0.01661899	0.058627144	0.80335003	-0.06747017	-2.5854519e-10	-0.00093180715	-2.2053719e-10	-0.0011127501	0.8500756	-0.16848558	0.023788821	-0.0045200065	30.834743	0.91399956	14.0	0.69783056	0.015136008	150000	14104.296159029007
30	-3.853465	1.9870653	-0.3	-10.0	0.02970297	0.1697666	1.0	0.0	48.881187	292.0	0.0018838709677419356	-1.6494765	1.6239226	1.1345769	-8.132405	0.042700842	0.0832167	0.7789114	-0.110153735	-2.1006445e-09	-0.00030770534	-1.7642975e-09	-0.0002860761	0.6213321	-0.15497771	0.015758945	-0.005242306	31.748743	0.5876217	6.0	0.72702634	0.016253158	155000	14544.814532518387
31	-3.7883499	1.6091547	-0.4	-10.0	0.029126214	0.16816027	1.0	0.0	48.45631	295.0	0.00184375	-1.8103226	1.7900195	1.3140539	-9.795146	0.0181799	0.06589532	0.7742562	-0.43831202	2.6227995e-10	-8.543057e-05	4.768372e-10	-1.8544197e-06	0.46610108	-0.22105812	0.012855814	-0.0024995366	32.336365	0.44044495	7.0	0.72963	0.01207095	160000	14990.335642814636
32	-3.9257424	1.910039	-0.5	-10.0	0.02970297	0.1697666	1.0	0.0	49.49505	298.0	0.001806060606060606	-1.6358908	1.6245294	1.4577242	-7.1658974	0.017043889	0.06430708	0.52335656	-0.13309607	-5.439966e-10	-0.00036597307	-3.2782554e-10	-0.00030351154	0.5374201	-0.16631961	0.012000245	-0.0017963601	32.77681	0.45671463	17.0	0.68879783	0.014430225	165000	15435.734929084778
33	-3.8116503	2.1668868	-0.5	-10.0	0.058252428	0.23422013	1.0	0.0	48.15534	304.0	0.0017882352941176471	-1.8286656	1.8683622	1.2954376	-8.067675	0.023500906	0.072630316	0.5481237	-0.25096822	1.0098072e-09	-0.00016677992	8.106232e-10	-0.0002832909	0.80815756	-0.28690004	0.015517575	-0.0042543067	33.233524	1.0020142	5.0	0.691638	0.017219076	170000	15875.208894491196
34	-3.1932776	1.71257	-0.3	-10.0	0.1092437	0.31194472	1.0	0.0	41.638657	317.0	0.0018114285714285715	-1.416536	1.4620788	1.1681328	-7.3453913	0.030971637	0.11630716	1.024283	-0.15265347	2.9748498e-10	-0.00019138733	1.66893e-10	-0.000155868	0.8116582	-0.23643345	0.057913378	-0.023875654	34.23554	2.1040154	6.0	0.70991784	0.012732399	175000	16321.110578775406
35	-3.2805088	1.8462173	-0.6	-10.0	0.13559322	0.34235612	1.0	0.0	42.033897	333.0	0.00185	-1.6649665	1.6981603	1.4534379	-7.8792057	0.06629244	0.112712726	0.6831269	-0.19795488	1.4346094e-10	-0.00087863574	4.7683715e-11	-0.0012870914	1.3878375	-0.39377618	0.04843914	-0.009939581	36.339554	2.8034973	5.0	0.71398675	0.023681965	180000	16767.355388879776
36	-3.5225222	1.9956567	-0.4	-10.0	0.08108108	0.27295956	1.0	0.0	44.936935	342.0	0.0018486486486486487	-1.7989218	2.0687184	1.4825875	-12.436333	0.06684984	0.11527231	0.6688563	-0.18300155	6.007129e-10	-0.00046210393	5.722046e-10	-0.00062533235	0.7074331	-0.21578017	0.02814878	-0.004214555	39.14305	1.9280357	13.0	0.6651811	0.015145177	185000	17211.655022382736
37	-3.6924527	1.962031	-1.0	-10.0	0.056603774	0.23108393	1.0	0.0	47.09434	348.0	0.001831578947368421	-1.6712039	1.7964333	1.5027544	-11.179028	0.06602074	0.10850386	0.67340887	-0.13721639	1.6830198e-09	-0.0005827461	1.2874604e-09	-0.0007056451	0.93654704	-0.2877788	0.029528024	-0.0064918585	41.071087	1.227993	22.0	0.7439831	0.014016778	190000	17656.050262212753
38	-3.2886958	1.671592	-0.3	-10.0	0.04347826	0.20393112	1.0	0.0	43.408695	353.0	0.0018102564102564103	-1.5064462	1.8483145	1.3410606	-10.382283	0.033869427	0.091601774	0.7553393	-0.20905754	-6.666354e-10	-0.0006916542	-6.9141387e-10	-0.0009925077	0.48698944	-0.2339929	0.022813285	-0.01498696	42.29908	0.8748398	8.0	0.7565736	0.017779978	195000	18100.304574728012
39	-3.7673075	1.8405917	-0.9	-10.0	0.03846154	0.19230768	1.0	0.0	47.932693	357.0	0.001785	-1.369032	1.3905734	1.4272194	-8.037857	0.029914377	0.099259764	0.8942569	-0.31898603	8.000164e-10	-0.0005066515	8.5830687e-10	-0.00060286396	0.9945991	-0.31224453	0.018003754	-0.007049756	43.17392	0.7262306	6.0	0.73762304	0.016166229	200000	18547.11829829216
40	-3.5831776	1.6855896	-1.2	-10.0	0.009345794	0.09622084	1.0	0.0	46.523365	358.0	0.0017463414634146341	-1.6525574	1.7964337	1.5910248	-10.187825	0.02255198	0.070474625	0.6562589	-0.14318104	2.713404e-10	-0.00021525266	2.384186e-10	-0.00061989686	0.62691975	-0.31142956	0.008278816	-0.0042565484	43.90015	0.14508438	5.0	0.7029078	0.025127688	205000	18990.024799585342
41	-3.6885712	1.7320131	-0.7	-10.0	0.00952381	0.09712419	1.0	0.0	47.466667	359.0	0.0017095238095238094	-1.420996	1.4409778	1.2185838	-6.9767838	0.012397066	0.042045936	0.46442252	-0.08733467	-1.3036022e-10	-0.00025480328	-1.5497208e-10	-0.0002971562	0.6427078	-0.28811437	0.0060401345	-0.0006533852	44.045235	-0.010593414	6.0	0.70712334	0.018082192	210000	19432.173536539078
42	-3.8782177	1.9952223	-1.2	-10.0	0.01980198	0.13931929	1.0	0.0	49.12871	361.0	0.0016790697674418605	-1.976698	2.0679283	2.3291926	-11.16843	0.022545751	0.061728682	0.45111284	-0.07245447	-1.558675e-09	-0.00047785905	-1.4901161e-09	-0.0006971713	0.8448914	-0.35866994	0.01137245	-0.0034147883	44.03464	0.19902802	17.0	0.6866877	0.013086682	215000	19878.23221063614
43	-4.165625	2.0137458	-1.3	-10.0	0.020833334	0.14282614	1.0	0.0	51.96875	363.0	0.00165	-1.5544218	1.6216644	2.2700005	-9.314651	0.021399021	0.054473538	0.5395676	-0.08156464	3.4003106e-11	-0.00011294796	2.5629998e-10	-9.912075e-05	1.0414798	-0.40863365	0.007053508	-0.0016043945	44.23367	0.28573608	5.0	0.67463964	0.013841653	220000	20316.93615627289
44	-3.5472224	1.6244919	-1.1	-10.0	0.018518519	0.13481687	1.0	0.0	46.064816	365.0	0.0016222222222222222	-1.6109647	1.5415568	2.0255728	-8.650196	0.01663545	0.05363784	0.5348219	-0.10773814	-8.451109e-10	-0.0008873215	-6.198883e-10	-0.0011650933	0.8662761	-0.41317716	0.007253893	-0.0020208037	44.519405	0.25294495	43.0	0.6776259	0.013201792	225000	20760.885233163834
45	-3.9257429	2.1887946	-1.3	-10.0	0.01980198	0.13931929	1.0	0.0	49.27723	367.0	0.0015956521739130434	-1.7402117	1.6757137	2.66528	-7.673859	0.028037824	0.07196023	0.5614879	-0.092003986	2.1144333e-11	-0.00011991923	-1.66893e-10	-0.00044144175	1.1897306	-0.45506662	0.007942505	-0.0012245746	44.77235	0.27059555	6.0	0.6599893	0.01118401	230000	21204.146957874298
46	-4.16	2.0637422	-0.7	-10.0	0.0	0.0	0.0	0.0	52.252632	367.0	0.0015617021276595744	-2.0524323	2.0593143	2.2832286	-11.558679	0.022491992	0.053137112	0.45373845	-0.089281954	7.979462e-10	-0.00045924907	9.596348e-10	-0.00046516777	1.0379477	-0.63489294	0.0018847187	-0.0011908067	45.042946	-0.16482162	79.0	0.63198227	0.010809351	235000	21640.03902053833
47	-3.5675924	1.9491131	-1.5	-10.0	0.009259259	0.09577852	1.0	0.0	46.166668	368.0	0.0015333333333333334	-1.6626729	1.7908797	2.0523014	-8.99936	0.0034768498	0.016167566	0.20166264	-0.05388079	4.9777615e-10	-0.00031566015	3.218651e-10	-0.00052337727	1.1008968	-0.55769	0.0024379871	-0.00038013374	44.878124	-0.08030701	11.0	0.6226522	0.015116763	240000	22085.96742749214
48	-3.2842102	1.5042384	-0.9	-10.0	0.0	0.0	0.0	0.0	43.649124	368.0	0.0015020408163265305	-1.4338645	1.6622269	2.3466094	-8.76214	0.0019016685	0.018530402	0.17975809	-0.06312545	2.8361208e-10	-0.00017693182	1.05798245e-10	-6.794627e-05	0.437675	-0.1709804	0.00018452924	-7.8502046e-05	44.797817	-0.24632263	79.0	0.58640313	0.0063827746	245000	22531.227458000183
49	-3.798058	1.9320987	-1.4	-10.0	0.009708738	0.09805343	1.0	0.0	48.4466	369.0	0.001476	-1.5948129	1.5578178	2.8816795	-6.784067	0.007052108	0.03193366	0.2689808	-0.08602031	6.3152933e-10	-0.00047065053	6.735325e-10	-0.0005785828	1.0475382	-0.48758447	0.007022536	-0.0012280252	44.551495	-0.07486725	19.0	0.59334975	0.012321025	250000	22976.71667408943
50	-3.8533976	2.3406005	-1.1	-10.0	0.019417476	0.1379871	1.0	0.0	48.46602	371.0	0.0014549019607843136	-2.0940304	2.6361682	2.9849002	-12.401496	0.015607187	0.034400146	0.23924495	-0.15297014	4.3762866e-10	-0.00012238733	3.874302e-10	-0.00045401845	1.6077918	-0.84292936	0.00988645	-0.0011677966	44.476627	0.23060226	4.0	0.6010128	0.020226322	255000	23424.01349759102
51	-3.629245	1.9623324	-1.0	-10.0	0.0	0.0	0.0	0.0	46.773586	371.0	0.001426923076923077	-1.7015886	1.9764781	2.2644346	-10.909845	0.014222513	0.030024901	0.14784059	-0.046405192	-2.612943e-10	-0.00025004646	-2.7567149e-10	-8.9054854e-05	0.727129	-0.32737386	0.0008295522	-0.0006821215	44.70723	-0.19396591	79.0	0.5961155	0.0065086717	260000	23868.16415643692
52	-3.6457145	1.6713284	-1.0	-10.0	0.00952381	0.09712419	1.0	0.0	47.24762	372.0	0.0014037735849056605	-1.4753784	1.5428569	2.1896102	-8.721585	4.9646234e-05	0.00859488	0.04173655	-0.043947354	4.7949583e-10	-0.0001960629	3.874302e-10	-0.00010347651	0.50995564	-0.14730617	0.0030869877	-0.00012912555	44.513264	-0.08519745	16.0	0.57604533	0.013452783	265000	24312.89932179451
53	-3.8470588	2.1371002	-0.8	-10.0	0.029411765	0.1689577	1.0	0.0	48.715687	375.0	0.001388888888888889	-1.7277613	1.8145267	1.2841426	-12.004414	0.009389172	0.015785184	0.091879964	-0.03106736	5.9050176e-10	-0.00013024155	2.861023e-10	-0.000105323	1.1739494	-0.45907444	0.018835736	-0.003601133	44.428066	0.50915146	4.0	0.57381064	0.014370465	270000	24755.030277729034
54	-3.9383838	2.049967	-1.2	-10.0	0.0	0.0	0.0	0.0	49.939392	375.0	0.0013636363636363637	-2.0282574	2.309879	1.5283356	-12.065363	0.031989604	0.047976892	0.22910884	-0.14508201	1.4910441e-10	-0.0003925231	2.2351741e-10	-0.00032892794	1.2229834	-0.5912615	0.0029283024	-0.002633744	44.937218	-0.12770462	79.0	0.5646829	0.012029785	275000	25195.241599798203
55	-3.4450452	2.0024643	-0.5	-10.0	0.018018018	0.13301642	1.0	0.0	44.855854	377.0	0.0013464285714285713	-1.984102	2.3017697	1.2711587	-11.151128	0.0048002284	0.021342449	0.22234447	-0.13051297	-1.2109099e-09	-0.0006558006	-1.0788441e-09	-0.0007887937	1.3429062	-0.64978963	0.009571183	-0.0036479533	44.809513	0.14640808	22.0	0.6127664	0.0139979245	280000	25639.586884260178
